LightEngine Log - 2026-06-17 17:48:16
------------------------------------------------------------
[17:48:16] INIT: LightEngine v4.0.0 started
[17:48:16] WEATHER: Weather initialized: fog (20 particles)
[17:48:16] INIT: Map: maps\open_space.json, Quality: max, Weather: True, Day/Night: True
[17:48:18] BOT_ALERT: Bot#0 spotted player at (11.8,10.0)
[17:48:18] BOT_ALERT: Bot#0 spotted player at (12.3,9.4)
[17:48:18] BOT_ALERT: Bot#0 spotted player at (13.2,9.4)
[17:48:19] BOT_ALERT: Bot#0 spotted player at (14.0,9.4)
[17:48:19] BOT_ALERT: Bot#0 spotted player at (14.6,10.0)
[17:48:19] BOT_ALERT: Bot#0 spotted player at (15.2,10.5)
[17:48:19] BOT_ALERT: Bot#0 spotted player at (15.2,11.4)
[17:48:19] BOT_ALERT: Bot#2 spotted player at (15.2,11.4)
[17:48:19] BOT_ALERT: Bot#0 spotted player at (15.2,12.4)
[17:48:19] BOT_ALERT: Bot#2 spotted player at (15.2,12.4)
[17:48:19] BOT_ALERT: Bot#0 spotted player at (14.5,13.0)
[17:48:19] BOT_ALERT: Bot#2 spotted player at (14.5,13.0)
[17:48:20] BOT_ALERT: Bot#0 spotted player at (14.5,13.8)
[17:48:20] BOT_ALERT: Bot#0 spotted player at (14.5,14.6)
[17:48:20] BOT_ALERT: Bot#0 spotted player at (14.5,15.4)
[17:48:20] PLAYER: Light OFF
[17:48:20] BOT_ALERT: Bot#0 spotted player at (14.0,16.0)
[17:48:20] BOT_ALERT: Bot#0 spotted player at (13.4,16.5)
[17:48:20] BOT_ALERT: Bot#0 spotted player at (12.9,17.1)
[17:48:21] BOT_INVESTIGATE: Bot#2 investigating last known position
[17:48:21] BOT_ALERT: Bot#0 spotted player at (9.6,17.6)
[17:48:23] BOT_INVESTIGATE: Bot#0 investigating last known position
[17:48:24] BOT_ALERT: Bot#0 spotted player at (4.3,18.7)
[17:48:24] BOT_ALERT: Bot#0 spotted player at (4.3,18.7)
[17:48:24] BOT_ALERT: Bot#0 spotted player at (4.3,18.7)
[17:48:24] BOT_ALERT: Bot#0 spotted player at (4.3,18.7)
[17:48:25] BOT_ALERT: Bot#0 spotted player at (3.1,18.1)
[17:48:25] BOT_ALERT: Bot#0 spotted player at (2.5,17.6)
[17:48:25] BOT_ALERT: Bot#0 spotted player at (2.0,17.1)
[17:48:25] BOT_ALERT: Bot#0 spotted player at (2.0,16.3)
[17:48:25] BOT_ALERT: Bot#0 spotted player at (2.0,15.4)
[17:48:27] BOT_INVESTIGATE: Bot#0 investigating last known position
[17:48:29] BOT_ALERT: Bot#1 spotted player at (7.8,3.4)
[17:48:29] BOT_ALERT: Bot#1 spotted player at (8.4,4.0)
